Indicator,Country,Date,value
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-26,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-26,3175.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-26,2781.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-26,387.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-26,7.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-26,2101.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-26,1714.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-26,387.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-26,9265.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-26,3153.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-26,1888.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-26,4224.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-26,4057.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-26,11341.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-26,8308.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-26,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-26,2746.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-26,3479.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-26,3113.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-26,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-26,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-26,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-26,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-26,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-26,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-26,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-26,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-26,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-26,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-26,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-26,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-26,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-26,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-26,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-26,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-26,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-26,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-26,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-26,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-26,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-26,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-26,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-26,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-26,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-26,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-26,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-26,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-26,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-26,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-26,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-26,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-25,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-25,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-25,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-25,2762.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-25,387.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-25,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-25,3155.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2015-02-25,152.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-02-25,152.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-25,1704.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-25,387.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-25,2091.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-25,3153.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-25,1888.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-25,4197.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-25,9238.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2015-02-25,10.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-02-25,10.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-25,4037.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-25,8289.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-25,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-25,2725.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2015-02-25,235.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2015-02-25,235.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-25,3095.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-25,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-25,158.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-25,3461.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-25,11301.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-25,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-25,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-25,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-25,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-25,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-25,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-25,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-25,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-25,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-25,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-25,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-25,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-25,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-25,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-25,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-25,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-25,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-25,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-25,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-25,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-25,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-25,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-25,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-25,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-25,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-25,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-25,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-25,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-25,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-23,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-23,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-23,3155.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-23,2758.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-23,387.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-23,10.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-23,2086.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-23,1699.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-23,387.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-23,9229.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-23,3153.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-23,1888.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-23,4188.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-23,4032.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-23,11155.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-23,8223.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-23,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-23,2645.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-23,3423.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-23,3057.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-23,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-23,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-23,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-23,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-23,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-23,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-23,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-23,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-23,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-23,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-23,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-23,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-23,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-23,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-23,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-23,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-23,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-23,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-23,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-23,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-23,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-23,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-23,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-23,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-23,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-23,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-23,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-23,0.0
